optionId,eventId,order,Text,nextNodeId,requiredItemId,requiredUnlockedNodeId,unlockConditionText,consumeItemId
O_Start_0,Start,0,<size=150%>开始游戏</size>,A0,,,
O_A0_0,A0,0,爬出飞机残骸,A1,,,
O_A0_1,A0,1,检查行李箱,A2,行李箱密码,A3,<color=blue>需要知识：行李箱密码</color>,
O_A0_2,A0,2,翻看旁边的尸体,A3,,,
O_A1_0,A1,0,你死了,A0,,,
O_A2_0,A2,0,向西走,B0,,,
O_A2_1,A2,1,向北走,C0,,,
O_A2_2,A2,2,向东走,D0,,,
O_A3_0,A3,0,你死了,A0,,,
O_B0_0,B0,0,站定不动，双眼紧盯森蚺,B2,,,
O_B0_1,B0,1,立刻转身，快速逃跑,B1,,,
O_B1_0,B1,0,你死了,A0,,,
O_B2_0,B2,0,潜行躲开,B4,,,
O_B2_1,B2,1,上前交流,B3,,,
O_B3_0,B3,0,你死了,A0,,,
O_B4_0,B4,0,搜查右边,B5,,,
O_B4_1,B4,1,搜查左边,B7,,,
O_B5_0,B5,0,接受命运,B6,,,
O_B6_0,B6,0,你死了,A0,,,
O_B7_0,B7,0,接受命运,B8,,,
O_B8_0,B8,0,你死了,A0,,,
O_C0_0,C0,0,摘下拿走<color=orange>(获得物品：浆果)</color>,C1,,,
O_C0_1,C0,1,摘下吃掉,C1,,,
O_C0_2,C0,2,无视离开,C1,,,
O_C1_0,C1,0,直接穿过毒雾,C2,,,
O_C1_1,C1,1,用湿布捂住口鼻穿过,C3,浸湿的破布&求生手册环境篇,D0,<color=orange>需要物品：浸湿的破布</color>，<color=blue>需要知识：求生手册环境篇</color>,
O_C2_0,C2,0,你死了,A0,,,
O_C3_0,C3,0,向左走,C4,,,
O_C3_1,C3,1,向右走,C8,,,
O_C4_0,C4,0,与之交流,C5,,,
O_C4_1,C4,1,杀了他,C6,手术刀,D2,<color=orange>需要物品：手术刀</color>,
O_C5_0,C5,0,你死了,A0,,,
O_C6_0,C6,0,继续,C7,,,
O_C7_0,C7,0,你死了,A0,,,
O_C8_0,C8,0,硬闯,E2,,,
O_C8_1,C8,1,用浆果引开,E2,浆果,C0,<color=orange>需要物品：浆果</color>,
O_D0_0,D0,0,直接离开,D2,,,
O_D0_1,D0,1,将破布浸湿<color=orange>(获得物品：浸湿的破布)</color>,D2,,,
O_D0_2,D0,2,清洗伤口,D1,,,
O_D1_0,D1,0,你死了,A0,,,
O_D2_0,D2,0,通向毒雾的大路,C1,,,
O_D2_1,D2,1,被层层灌木遮挡的小路,D3,,,
O_D3_0,D3,0,布满荆棘的小路,E1,,,
O_D3_1,D3,1,遍布脚印的大路,E0,,,
O_D3_2,D3,2,树木丛生的小路,D5,,,
O_D3_3,D3,3,泥泞的大路,D4,,,
O_D4_0,D4,0,你死了,A0,,,
O_D5_0,D5,0,无视离开,D7,,,
O_D5_1,D5,1,爬树采摘,D6,,,
O_D6_0,D6,0,你死了,A0,,,
O_D7_0,D7,0,继续,D8,,,
O_D8_0,D8,0,你死了,A0,,,
O_E0_0,E0,0,无视离开,E2,,,
O_E0_1,E0,1,前往救助,E3,求生手册医疗篇,C3,<color=blue>需要知识：求生手册医疗篇</color>,
O_E1_0,E1,0,拿<color=orange>(获得物品：电池)</color>,E2,,,
O_E1_1,E1,1,不拿,E2,,,
O_E2_0,E2,0,凭直觉向前走去,E4,,,
O_E2_1,E2,1,向信号塔方向走去,E5,,E3,<color=blue>需要知识：信号塔位置</color>,
O_E3_0,E3,0,听从意见，前往信号塔,E5,,,
O_E3_1,E3,1,不听从意见，向另一条路走去,D7,,,
O_E4_0,E4,0,你死了,A0,,,
O_E5_0,E5,0,呼叫直升机救援,End,电池,C6&B7,<color=orange>需要物品：电池。</color><color=blue>需要知识：电台密码，求生手册救援篇</color>,
O_E5_1,E5,1,徒劳的尝试,E6,,,
O_E6_0,E6,0,你死了,A0,,,
O_End_0,End,0,游戏结束,A0,,,
